record id,total_bill,tip
1,16.99,1.01
2,10.34,1.66
3,21.01,3.5
4,23.68,3.31
5,24.59,3.61
6,25.29,4.71
7,8.77,2
8,26.88,3.12
9,15.04,1.96
10,14.78,3.23
11,10.27,1.71
12,35.26,5
13,15.42,1.57
14,18.43,3
15,14.83,3.02
16,21.58,3.92
17,10.33,1.67
18,16.29,3.71
19,16.97,3.5
20,20.65,3.35
21,17.92,4.08
22,20.29,2.75
23,15.77,2.23
24,39.42,7.58
25,19.82,3.18
26,17.81,2.34
27,13.37,2
28,12.69,2
29,21.7,4.3
30,19.65,3
31,9.55,1.45
32,18.35,2.5
33,15.06,3
34,20.69,2.45
35,17.78,3.27
36,24.06,3.6
37,16.31,2
38,16.93,3.07
39,18.69,2.31
40,31.27,5
41,16.04,2.24
42,17.46,2.54
43,13.94,3.06
44,9.68,1.32
45,30.4,5.6
46,18.29,3
47,22.23,5
48,32.4,6
49,28.55,2.05
50,18.04,3
51,12.54,2.5
52,10.29,2.6
53,34.81,5.2
54,9.94,1.56
55,25.56,4.34
56,19.49,3.51
57,38.01,3
58,26.41,1.5
59,11.24,1.76
60,48.27,6.73
61,20.29,3.21
62,13.81,2
63,11.02,1.98
64,18.29,3.76
65,17.59,2.64
66,20.08,3.15
67,16.45,2.47
68,3.07,1
69,20.23,2.01
70,15.01,2.09
71,12.02,1.97
72,17.07,3
73,26.86,3.14
74,25.28,5
75,14.73,2.2
76,10.51,1.25
77,17.92,3.08
78,27.2,4
79,22.76,3
80,17.29,2.71
81,19.44,3
82,16.66,3.4
83,10.07,1.83
84,32.68,5
85,15.98,2.03
86,34.83,5.17
87,13.03,2
88,18.28,4
89,24.71,5.85
90,21.16,3
91,28.97,3
92,22.49,3.5
93,5.75,1
94,16.32,4.3
95,22.75,3.25
96,40.17,4.73
97,27.28,4
98,12.03,1.5
99,21.01,3
100,12.46,1.5
101,11.35,2.5
102,15.38,3
103,44.3,2.5
104,22.42,3.48
105,20.92,4.08
106,15.36,1.64
107,20.49,4.06
108,25.21,4.29
109,18.24,3.76
110,14.31,4
111,14,3
112,7.25,1
113,38.07,4
114,23.95,2.55
115,25.71,4
116,17.31,3.5
117,29.93,5.07
118,10.65,1.5
119,12.43,1.8
120,24.08,2.92
121,11.69,2.31
122,13.42,1.68
123,14.26,2.5
124,15.95,2
125,12.48,2.52
126,29.8,4.2
127,8.52,1.48
128,14.52,2
129,11.38,2
130,22.82,2.18
131,19.08,1.5
132,20.27,2.83
133,11.17,1.5
134,12.26,2
135,18.26,3.25
136,8.51,1.25
137,10.33,2
138,14.15,2
139,16,2
140,13.16,2.75
141,17.47,3.5
142,34.3,6.7
143,41.19,5
144,27.05,5
145,16.43,2.3
146,8.35,1.5
147,18.64,1.36
148,11.87,1.63
149,9.78,1.73
150,7.51,2
151,14.07,2.5
152,13.13,2
153,17.26,2.74
154,24.55,2
155,19.77,2
156,29.85,5.14
157,48.17,5
158,25,3.75
159,13.39,2.61
160,16.49,2
161,21.5,3.5
162,12.66,2.5
163,16.21,2
164,13.81,2
165,17.51,3
166,24.52,3.48
167,20.76,2.24
168,31.71,4.5
169,10.59,1.61
170,10.63,2
171,50.81,10
172,15.81,3.16
173,7.25,5.15
174,31.85,3.18
175,16.82,4
176,32.9,3.11
177,17.89,2
178,14.48,2
179,9.6,4
180,34.63,3.55
181,34.65,3.68
182,23.33,5.65
183,45.35,3.5
184,23.17,6.5
185,40.55,3
186,20.69,5
187,20.9,3.5
188,30.46,2
189,18.15,3.5
190,23.1,4
191,15.69,1.5
192,19.81,4.19
193,28.44,2.56
194,15.48,2.02
195,16.58,4
196,7.56,1.44
197,10.34,2
198,43.11,5
199,13,2
200,13.51,2
201,18.71,4
202,12.74,2.01
203,13,2
204,16.4,2.5
205,20.53,4
206,16.47,3.23
207,26.59,3.41
208,38.73,3
209,24.27,2.03
210,12.76,2.23
211,30.06,2
212,25.89,5.16
213,48.33,9
214,13.27,2.5
215,28.17,6.5
216,12.9,1.1
217,28.15,3
218,11.59,1.5
219,7.74,1.44
220,30.14,3.09
221,12.16,2.2
222,13.42,3.48
223,8.58,1.92
224,15.98,3
225,13.42,1.58
226,16.27,2.5
227,10.09,2
228,20.45,3
229,13.28,2.72
230,22.12,2.88
231,24.01,2
232,15.69,3
233,11.61,3.39
234,10.77,1.47
235,15.53,3
236,10.07,1.25
237,12.6,1
238,32.83,1.17
239,35.83,4.67
240,29.03,5.92
241,27.18,2
242,22.67,2
243,17.82,1.75
244,18.78,3
